year_month,warehouse_id,total_units
2025-03,WH001,2465
2025-04,WH001,3034
2025-05,WH001,13697
2025-06,WH001,44288
2025-07,WH001,36641
2025-08,WH001,38457
2025-09,WH001,58302
2025-10,WH001,39289
2025-11,WH001,56690
2025-12,WH001,57516
2026-01,WH001,86186
2026-02,WH001,62778
2026-03,WH001,77136
2026-04,WH001,54071
2026-05,WH001,51325
2026-06,WH001,59644
2026-07,WH001,70682
2026-08,WH001,81320
2026-09,WH001,84111
2026-10,WH001,127800
2026-11,WH001,121862
2026-12,WH001,156768
2027-01,WH001,140596
2027-02,WH001,156661
2027-03,WH001,181656
2027-04,WH001,202015
2027-05,WH001,247892
2027-06,WH001,227131
2027-07,WH001,295306
2027-08,WH001,316456
2027-09,WH001,313551
2027-10,WH001,314921
2027-11,WH001,244069
2027-12,WH001,81869
2025-03,WH002,2020
2025-04,WH002,2556
2025-05,WH002,5557
2025-06,WH002,189388
2025-07,WH002,71999
2025-08,WH002,37911
2025-09,WH002,39430
2025-10,WH002,48422
2025-11,WH002,43325
2025-12,WH002,59082
2026-01,WH002,47420
2026-02,WH002,63310
2026-03,WH002,57782
2026-04,WH002,37176
2026-05,WH002,26417
2026-06,WH002,27143
2026-07,WH002,26872
2026-08,WH002,34928
2026-09,WH002,22801
2026-10,WH002,37354
2026-11,WH002,36476
2026-12,WH002,48914
2027-01,WH002,70113
2027-02,WH002,35912
2027-03,WH002,41572
2027-04,WH002,55556
2027-05,WH002,56807
2027-06,WH002,62418
2027-07,WH002,69892
2027-08,WH002,82167
2027-09,WH002,85390
2027-10,WH002,73473
2027-11,WH002,50629
2027-12,WH002,24715
2025-03,WH003,1673
2025-04,WH003,6157
2025-05,WH003,10522
2025-06,WH003,31807
2025-07,WH003,27002
2025-08,WH003,24031
2025-09,WH003,32728
2025-10,WH003,41538
2025-11,WH003,48859
2025-12,WH003,60779
2026-01,WH003,52472
2026-02,WH003,51449
2026-03,WH003,53816
2026-04,WH003,54106
2026-05,WH003,57976
2026-06,WH003,50743
2026-07,WH003,53832
2026-08,WH003,58122
2026-09,WH003,48035
2026-10,WH003,71971
2026-11,WH003,48906
2026-12,WH003,78814
2027-01,WH003,69584
2027-02,WH003,67368
2027-03,WH003,57066
2027-04,WH003,62555
2027-05,WH003,88466
2027-06,WH003,82022
2027-07,WH003,92774
2027-08,WH003,101244
2027-09,WH003,95019
2027-10,WH003,113769
2027-11,WH003,97356
2027-12,WH003,23043
2025-03,WH004,980
2025-05,WH004,3322
2025-06,WH004,226165
2025-07,WH004,115219
2025-08,WH004,48312
2025-09,WH004,47816
2025-10,WH004,54869
2025-11,WH004,54869
2025-12,WH004,70052
2026-01,WH004,64307
2026-02,WH004,80785
2026-03,WH004,67932
2026-04,WH004,40698
2026-05,WH004,19884
2026-06,WH004,22726
2026-07,WH004,39463
2026-08,WH004,36045
2026-09,WH004,43982
2026-10,WH004,33965
2026-11,WH004,46748
2026-12,WH004,53009
2027-01,WH004,63631
2027-02,WH004,48316
2027-03,WH004,78234
2027-04,WH004,67236
2027-05,WH004,81477
2027-06,WH004,91974
2027-07,WH004,97378
2027-08,WH004,95292
2027-09,WH004,126447
2027-10,WH004,129793
2027-11,WH004,85130
2027-12,WH004,20377
2025-02,WH005,508
2025-03,WH005,1722
2025-04,WH005,2986
2025-05,WH005,7615
2025-06,WH005,11031
2025-07,WH005,22823
2025-08,WH005,20493
2025-09,WH005,21898
2025-10,WH005,24836
2025-11,WH005,24698
2025-12,WH005,26999
2026-01,WH005,36966
2026-02,WH005,33196
2026-03,WH005,49269
2026-04,WH005,37971
2026-05,WH005,42003
2026-06,WH005,48870
2026-07,WH005,33959
2026-08,WH005,30084
2026-09,WH005,36178
2026-10,WH005,35579
2026-11,WH005,36070
2026-12,WH005,48284
2027-01,WH005,51976
2027-02,WH005,37148
2027-03,WH005,56259
2027-04,WH005,56498
2027-05,WH005,54051
2027-06,WH005,67027
2027-07,WH005,64824
2027-08,WH005,70666
2027-09,WH005,94684
2027-10,WH005,64497
2027-11,WH005,83245
2027-12,WH005,30588
2025-03,WH006,1821
2025-04,WH006,3334
